Study ID,Title,Country,City,Indicator,Tools,nature_type,nature_quantity,exposure_type
Wang 2021,Exercise in the Park or Gym? The Physiological and Mental Responses of Obese People Walking in Different Settings at Different Speeds: A Parallel Group Randomized Trial,China,Nanjing,Mood; Other: Attention,SDMT; BFS,Greenspace - Park,NA,NA
IOP 2018,Comparison of place attachment influence on the level of happiness of people living near residential parks,Indonasia,Malang  City,Happiness; Other: subjective well-being,SWM,NA,NA,NA
Koohsari 2018,Are public open space attributes associated with walking and depression?,Australia,NA,Depression,CESD-10,NA,NA,NA
Georgiou 2022,"A population-based retrospective study of the modifying effect of urban blue space on the impact of socioeconomic deprivation on mental health, 2009-2018",UK,Glasgow,Psychotic disorders (include schizophrenia),diagnosis of mental health disorders,NA,NA,NA
Toselli 2022,Effect of a Park-Based Physical Activity Intervention on Psychological Wellbeing at the Time of COVID-19,Italy,Bologna,Mental wellbeing in general*; Anxiety; Mood; Other: vitality,PGWB-S,NA,NA,NA
Asta 2021,"Green spaces and cognitive development at age 7 years in a rome birth cohort: The mediating role of nitrogen dioxide*,**",Italy,Rome,Cognitive functioning,WISC-III,NA,NA,NA
Lu 2021,"Multiple Pathways: The Influence Mechanism of Greenspace Exposure on Mental Health-A Case Study of Hangzhou, China",China,Hangzhou,Mental wellbeing in general*,K10 (Kessler Psychological Distress Scale - 10),Greenspace - General* (not specified),Other: GSR; GVR; GVE,NA
Jiang 2019,How to Waste a Break: Using Portable Electronic Devices Substantially Counteracts Attention Enhancement Effects of Green Spaces,United States,NA,Other: Attention functioning,"Digit Span Forward test, Digit Span Backward test",NA,NA,NA
Liao 2022,Associations between Greenspaces and Individual Health: A Longitudinal Study in China,China,m,Mental wellbeing in general*,Official/National mental health survey,NA,NA,NA
Aliyas 2021,"Physical, mental, and physiological health benefits of green and blue outdoor spaces among elderly people",Iran,Bandar Abbas city,Mental wellbeing in general*,SF-20,Greenspace - Park,NA,NA
Adjei 2015,"Biodiversity, environmental health and human well-being: analysis of linkages and pathways",UK,"Anglesey and Gwynedd, North Wales",Happiness,SDHS: short depression-happiness scale,NA,NA,NA
Dzhambov 2021,Does greenery experienced indoors and outdoors provide an escape and support mental health during the COVID-19 quarantine?,Bulgaria,Plovdiv,Anxiety; Depression,PHQ-9; GAD-7,NA,NA,NA
Nordbo 2020,Disentangling how the built environment relates to children's well-being: Participation in leisure activities as a mediating pathway among 8-year--olds based on the Norwegian Mother and Child Cohort Study,Norway,NA,Mental wellbeing in general*,SMFQ,NA,NA,NA
Bustamante 2022,"Mental health and well-being in times of COVID-19: A mixed-methods study of the role of neighborhood parks, outdoor spaces, and nature among US older adults",United States,m,Anxiety; Depression; Other: Loneliness,CES-D; BAI; UCLA loneliness scale,NA,NA,NA
Cox 2018,The impact of urbanisation on nature dose and the implications for human health,UK,m,Mental wellbeing in general*; Depression,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
Guite 2006,The impact of the physical and urban environment on mental well-being,UK,London,Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),NA,NA,NA
Larson 2022,Greenspace and park use associated with less emotional distress among college students in the United States during the COVID-19 pandemic,United States,m,Emotional wellbeing,PANAS (Positive and Negative Affect Schedule),Greenspace - Park; Greenspace - General* (not specified),Other: NDVI; Greenspace per capita km2/10000,L1 - neighborhood/residential exposure
Abdullah 2021,"Understanding the Differential Impact of Vegetation Measures on Modeling the Association between Vegetation and Psychotic and Non-Psychotic Disorders in Toronto, Canada",Canada,Toronto,Mental disorder; Psychotic disorders (include schizophrenia),Official/National mental health survey,NA,NA,NA
Afentou 2022,Inland Waterways and Population Health and Wellbeing: A Cross-Sectional Study of Waterway Users in the UK,UK,England; Wales,Mental wellbeing in general*,WEMWBS 7-item; LS,Bluespace - Open water (river/lake/canal),NA (or not specified),L4 - visit frequency
Duan 2022,Effects of Plant Communities on Human Physiological Recovery and Emotional Reactions: A Comparative Onsite Survey and Photo Elicitation Study,China,Beijing,Affect; Stress,PANAS; biofeedback device,Greenspace - Forest/Tree; Greenspace - Shrub/scrub; Greenspace - Grassland; Greenspace - General* (not specified),NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Liu 2021,The effect of urban nature exposure on mental health-a case study of Guangzhou,China,Guangzhou,Affect; Depression; Life satisfaction; Other: worthwhileness,MHI-5; Office for National Statistics,Greenspace - Park; Bluespace - General* (not specified),"Other: area of park, distance to park, water area, distance to water","Other: L1 - neighborhood/residential exposure, L2 - objective accessibility"
MacKerron 2013,Happiness is greater in natural environments,UK,m,Mental wellbeing in general*; Happiness,Experience Sampling Method,NA,NA,NA
Wang 2021,"Are greenspace quantity and quality associated with mental health through different mechanisms in Guangzhou, China: A comparison study using street view data",China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified),Other: NDVI; SVG-quantity,L1 - neighborhood/residential exposure
Bratman 2021,Affective Benefits of Nature Contact: The Role of Rumination,United States,"San Francisco, CA",Affect; Other: Rumination,RRS; PANAS,Greenspace - General* (not specified),NA (or not specified),L4 - duration in nature
Wan 2022,The Effects of Urban Neighborhood Environmental Evaluation and Health Service Facilities on Residents' Self-Rated Physical and Mental Health: A Comparative and Empirical Survey,China,Chengdu,Mental wellbeing in general*,WEMWBS (Warwick-Edinburgh Mental Wellbeing Scale),NA,NA,NA
Soga 2017,Health Benefits of Urban Allotment Gardening: Improved Physical and Psychological Well-Being and Social Integration,Japan,Tokyo,Mental wellbeing in general*; Eating disorders,GHQ-12,Greenspace - Garden,NA (or not specified),Other: L5 - gardening (yes/no); L5 - gardening frequency; L5 - gardening duration
Sarkar 2018,"Residential greenness and prevalence of major depressive disorders: a cross-sectional, observational, associational study of 94 879 adult UK Biobank participants",UK,NA,Depression,PHQ-9 (Patient Health Questionnaire-9),NA,NA,NA
Zhu 2022,Relationship between PSD of Park Green Space and Attention Restoration in Dense Urban Areas,China,"Chengdu, Sichuan",Restorative effects/Restorativeness,PRS (Perceived Restorativeness Scale),Greenspace - Park,"Other: Serene, Space, Nature, Rich in Species, Refuge, Culture, Prospect, and Social","L4 - physical activity in nature (e.g., walking/jogging)"
Wang 2023,Emergency department visits for mental disorders and the built environment: Residential greenspace and historical redlining,United States,m,Mental disorder,Diagnosis by professionals,NA,NA,NA
Helbich 2020,Relative importance of perceived physical and social neighborhood characteristics for depression: a machine learning approach,Netherlands,NA,Depression,PHQ-9 (Patient Health Questionnaire-9),NA,NA,NA
Han 2021,The effect of place attachment and greenway attributes on well-being among older adults in Taiwan,China,Taiwan,Mental wellbeing in general*,PREMA,NA,NA,NA
Choi 2022,Assessing the Correlation between Neighborhood Green Areas and the Perceived Mental Health of Residents in Metropolitan Areas,South Korea,Seoul,Depression; Stress,Community  Health  Survey,NA,NA,NA
Gilchrist 2015,Workplace settings and wellbeing: Greenspace use and views contribute to employee wellbeing at peri-urban business sites,UK,m,Mental wellbeing in general*,"WEMWBS 7-item (Shortened-WEMWBS, or SWEMWBS)",Greenspace - Forest/Tree; Greenspace - Shrub/scrub; Greenspace - Grassland; Bluespace - Open water (river/lake/canal),NA (or not specified),L3 - view of nature from window
Larson 2016,Public Parks and Wellbeing in Urban Areas of the United States,NA,NA,NA,NA,NA,NA,NA
Zhang 2022,Assessing the association between urban features and human physiological stress response using wearable sensors in different urban contexts,Denmark,Copenhagen,Stress,Wearable physiological sensor,NA,NA,NA
Dolling 2017,Stress recovery in forest or handicraft environments - An intervention study,Sweden,Umeå,"Mental wellbeing in general*; Self-esteem; Stress; Other: Fatigue, Burnout",CIS; PSQ; SCQ; SMBQ; SF-36,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Generaal 2019,"Not urbanization level but socioeconomic, physical and social neighbourhood characteristics are associated with presence and severity of depressive and anxiety disorders",Netherlands,m,Anxiety; Depression; Other: fear,IDS; BAI; FQ,NA,NA,NA
Sia 2020,Nature-based activities improve the well-being of older adults,Singapore,NA,Mental wellbeing in general*,SDS; SAS,NA,NA,NA
Song 2020,Effects of an Urban Forest-Based Health Promotion Program on Children Living in Group Homes,South Korea,Seoul,Depression; Restorative effects/Restorativeness; Self-esteem; Stress; Other: Behavior problems,RSE or RSES; CDI; PSS; Achenbach; ROS,NA,NA,NA
Joung 2022,Quality of Life and Mental Health Benefits of Public Participation in Forest Conservation Activities in Urban Areas,South Korea,Daejeon,Affect; Emotional wellbeing; Quality of life; Restorative effects/Restorativeness; Self-esteem,WHOQOL-BREF; RES; PANAS; PRS,Greenspace - Forest/Tree,NA (or not specified),L5 - nature participatory activities
Jakstis 2021,Urban Nature and Public Health: How Nature Exposure and Sociocultural Background Relate to Depression Risk,Germany,Stuttgart,Depression,WHO-5 (World Health Organisation 5 wellbeing Index),NA,NA,NA
Reuben 2020,Association of neighborhood parks with child health in the United States,United States,m,Anxiety; Depression; Psychotic disorders (include schizophrenia),NA,NA,NA,NA
Payne 2020,The Restorative Effect of the Natural Environment on University Students' Psychological Health,Australia,NA,Life satisfaction; Stress; Other: Burnout,RSS; PSS; MBI-SS; SWLS,Greenspace - General* (not specified),NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Elsadek 2019,Green facades: Their contribution to stress recovery and well-being in high-density cities,China,Shanghai,"Anxiety; Depression; Emotional wellbeing; Other: anger-hostility, fatigue, confusion, vigor, TMD",SD; POMS,Greenspace - Green roof/wall,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Kardan 2015,Neighborhood greenspace and health in a large urban center,Canada,Toronto,"Anxiety; Depression; Substance use disorders (e.g., alcohol use disorder, drug  addiction)",OHS,NA,NA,NA
NA,Nature and well-being in seven European cities: The moderating effect of connectedness to nature,Spain; Netherlands; Turkey; Portugal; Germany; France; Hungary,"Albacete, Spain; Amsterdam, Netherlands; Ankara, Turkey; Lisbon, Portugal; Magdeburg, Germany; Nantes, France; Szeged, Hungary",Mental wellbeing in general*,MHC-SF,NA,NA,NA
Trkulja 2021,Development of Evidence-Based Rehabilitation Practice in Botanical Garden for People With Mental Health Disorders,Serbia,Belgrade,Mental disorder,CGI,Greenspace - Garden,NA,NA
Wang 2021,"Dynamic greenspace exposure and residents' mental health in Guangzhou, China: From over-head to eye-level perspective, from quantity to quality",China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified),Other: NDVI; SVG-quantity,Other: L1 - neighborhood/residential exposure; L1 - workspace surrounding
Lee 2019,Community greenness and neurobehavioral health in children and adolescents,South Korea,NA,Other: neurobehavioral health,CBCL,NA,NA,NA
vandenBogerd 2021,"Urban blue space renovation and local resident and visitor well-being: A case study from Plymouth, UK",UK,Plymouth,Mental wellbeing in general*; Life satisfaction,WHO-5; European Social Survey,Bluespace - Beach/coastline,NA (or not specified),L1 - neighborhood/residential exposure
Jones 2021,Planting urban trees to improve quality of life? The life satisfaction impacts of urban afforestation,United States,New York City,Life satisfaction,BRFSS,NA,NA,NA
Bjork 2008,"Recreational values of the natural environment in relation to neighbourhood satisfaction, physical activity, obesity and wellbeing",Sweden,Scania  region,Mental wellbeing in general*; Life satisfaction,SF-36 (Short From Health Survey 36-item),NA,NA,NA
Chen 2020,"The neighborhood effect of exposure to blue space on elderly individuals' mental health: A case study in Guangzhou, China",China,Guangzhou,Mental wellbeing in general*,SF-36 (Short From Health Survey 36-item),Bluespace - Open water (river/lake/canal); Bluespace - General* (not specified),Other: Percentage of bluespace; Normalized Difference Water Index (NDWI); Per capita bluespace,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility
Lyu 2019,Bamboo forest therapy contributes to the regulation of psychological responses,China,Chengdu; Ya’an; Yibin; Dujiangyan,"Anxiety; Depression; Mood; Self-esteem; Other: fatigue, hostility, vigor",POMS (Profile of Mood States),Greenspace - Forest/Tree; Greenspace - Park,NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Tarkiainen 2021,Association between neighbourhood characteristics and antidepressant use at older ages: a register-based study of urban areas in three European countries,Italy; Sweden; Finland,m,Depression,antidepressant use,NA,NA,NA
Pazhouhanfar 2018,Role of Space Qualities of Urban Parks on Mood Change,Iran,"Gorgan, Iran",Mood,Questionnaire,NA,NA,NA
Camargo 2017,Individual and Environmental Correlates to Quality of Life in Park Users in Colombia,Colombia,Bucaramanga,Anxiety; Depression; Quality of life, EUROHIS-QOL-8  items,NA,NA,NA
South 2015,"Neighborhood Blight, Stress, and Health: A Walking Trial of Urban Greening and Ambulatory Heart Rate",NA,NA,NA,NA,NA,NA,NA
Han 2018,"Influence of passive versus active interaction with indoor plants on the restoration, behaviour and knowledge of students at a junior high school in Taiwan",China,Taiwan,Anxiety; Restorative effects/Restorativeness; Other: mental fatigue,SAI; WBM; RS; RCS,NA,NA,NA
Tiako 2021,Urban residential tree canopy and perceived stress among pregnant women,United States,"Philadelphia, PA",Stress,PSS (Perceived Stress Scale),Greenspace - Forest/Tree,Other: Tree canopy cover,L1 - neighborhood/residential exposure
Cox 2017,Doses of Nearby Nature Simultaneously Associated with Multiple Health Benefits,UK,Southern  England,Mental wellbeing in general*; Depression,"DASS-21 (Depression, Anxiety & Stress Scale - 21)",NA,NA,NA
NA,How nature nurtures: Amygdala activity decreases as the result of a one-hour walk in nature,Germany,Berlin,Stress,fMRI,NA,NA,NA
Olszewska-Guizzo 2022,Therapeutic Garden With Contemplative Features Induces Desirable Changes in Mood and Brain Activity in Depressed Adults,Singapore,Singapore,Mood,POMS (Profile of Mood States),Greenspace - Garden; Greenspace - Green roof/wall,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Korpela 2008,Determinants of restorative experiences in everyday favorite places,Finland,Helsinki; Tampere,Restorative effects/Restorativeness,ROS (Restoration Outcome Scale),Greenspace - General* (not specified); Bluespace - General* (not specified),NA (or not specified),Other: L1 - workspace surrounding; L1 - workspace surrounding; L3 - view of nature from window; L4 - specific visits; L4 - visit frequency; L4 - physical activity in nature; L5 - gardening; L5 - gardening frequency; L5 - nature participatory activities; L5 - hiking and camping; L5 - fishing and hunting
Herrera 2018,Greenness and job-related chronic stress in young adults: a prospective cohort study in Germany,Germany,Munich; Dresden,Stress,TICS,NA,NA,NA
Daniels 2022,Introducing nature at the work floor: A nature-based intervention to reduce stress and improve cognitive performance,Belgium,"Province of Limburg, Belgium",Cognitive functioning; Stress,Stroop Test; Continuous Performance test; Digit Span Test; Digit Symbol test; Pattern Comparison test; BAT; Cortisol blood test; continuous stress measurements,NA,NA,NA
Lohmus 2021,"Mental Health, Greenness, and Nature Related Behaviors in the Adult Population of Stockholm County during COVID-19-Related Restrictions",Sweden,Stockholm County,Mental wellbeing in general*; Depression; Stress; Other: Vitality,RAND-36; SCL90; Stress Profile,NA,NDVI (Normalized Difference Vegetation Index),NA
Chiang 2019,"Metric or topological proximity? The associations among proximity to parks, the frequency of residents' visits to parks, and perceived stress",Taiwan,Taipei City,NA,PSS (Perceived Stress Scale),Greenspace - Park,NA (or not specified),L4 - visit frequency
Ambrey 2016,"Greenspace, physical activity and well-being in Australian capital cities: how does population size moderate the relationship?",Australia,Adelaide; Brisbane; Canberra; Darwin; Melbourne; Perth; Sydney,Mental wellbeing in general*; Mental distress,SF-36; K10,Greenspace - General* (not specified),Other: Amount of greenspace,L1 - neighborhood/residential exposure
Chou 2021,"Cumulative Frequency of Nature Dose: How Continuous and Regular Forest Walking Improves Nature Relatedness, Restorativeness, and Learning Engagement in College Students",Taiwan,Taipei,Mental wellbeing in general*; Cognitive functioning; Restorative effects/Restorativeness,MHC-SF,NA,NA,NA
Elsadek 2019,The influence of urban roadside trees and their physical environment on stress relief measures: A field experiment in Shanghai,China,Shanghai,Anxiety; Mood; Restorative effects/Restorativeness; Other: subjective vitality,POMS; STAI-20; ROS; SVS,Greenspace - Green alley/Roadside green,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Djeudeu 2020,Spatio-temporal analysis of the risk of depression at district-level and association with greenness based on the Heinz Nixdorf Recall Study,Germany,Essen; Mülheim; Bochum,Depression,CES-D15,NA,NA,NA
Balseviciene 2014,Impact of Residential Greenness on Preschool Children's Emotional and Behavioral Problems,Lithuania,Kaunas,Other: Emotional and Behavioral Problems,SDQ,"Greenspace - Park; Other: Residential greenness, city parks",NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Garrido-Cumbrera 2022,The importance for wellbeing of having views of nature from and in the home during the COVID-19 pandemic. Results from the GreenCOVID study,Spain; Ireland; England,m,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - Green roof/wall; Greenspace - General* (not specified),NA (or not specified),L3 - view of nature from window
Bezold 2018,The relationship between surrounding greenness in childhood and adolescence and depressive symptoms in adolescence and early adulthood,United States,Boston,Depression,CES-D10 (Center for Epidemiologic Studies Depression Scale - 10),NA,NA,NA
Bang 2018,The Effects of a Health Promotion Program Using Urban Forests and Nursing Student Mentors on the Perceived and Psychological Health of Elementary School Children in Vulnerable Populations,South Korea,Seoul,Depression; Self-esteem,"RSE, Children’s Depression Inventory (CDI)",NA,NA,NA
Klein 2022,"Residential Greenspace Is Associated with Lower Levels of Depressive and Burnout Symptoms, and Higher Levels of Life Satisfaction: A Nationwide Population-Based Study in Sweden",Sweden,m,"Depression; Life satisfaction; Other: Burnout symptom,",SCL-CD6; SMBQ; Whitehall II,NA,NA,NA
McFarland 2017,"The Relationship between the Use of Green Spaces and Public Gardens in the Work Place on Mental Well-being, Quality of Life, and Job Satisfaction for Employees and Volunteers",United States,"Washington, DC",Mental wellbeing in general*,WEMWBS (Warwick-Edinburgh Mental Wellbeing Scale),NA,NA,NA
Lee 2011,Effect of forest bathing on physiological and psychological responses in young Japanese male subjects,Japan,Hokkaido Prefecture,Mood; Other: subjective feeling,SD; POMS,Greenspace - Forest/Tree,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Oomen-Welke 2022,Spending Time in the Forest or the Field: Investigations on Stress Perception and Psychological Well-Being-A Randomized Cross-Over Trial in Highly Sensitive Persons,Germany,Freiburg,"Anxiety; Depression; Emotional wellbeing; Other: Fatigue, Vigor, Hostility, TMD",CSP-14; POMS,Greenspace - Forest/Tree,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Triguero-Mas 2020,Quality of Life Benefits of Urban Rooftop Gardening for People With Intellectual Disabilities or Mental Health Disorders,Spain,Barcelona,Other: quality of life,INTEGRAL,NA,NA,NA
Wang 2020,"Residential greenness, air pollution and psychological well-being among urban residents in Guangzhou, China",China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - Forest/Tree; Greenspace - Grassland; Greenspace - General* (not specified),Other: NDVI; SVG-tree; SVG-grass,L1 - neighborhood/residential exposure
Chi 2022,"Residential Exposure to Urban Trees and Medication Sales for Mood Disorders and Cardiovascular Disease in Brussels, Belgium: An Ecological Study",Belgium,Brussels,Psychotic disorders (include schizophrenia),Medication Sales for Mood Disorders,Greenspace - Forest/Tree,"Other: number of trees, tree traits",L1 - neighborhood/residential exposure
Liu 2022,"The effect of nature exposure, nature connectedness on mental well-being and ill-being in a general Chinese population",China,Guangzhou,Mental disorder; Depression; Life satisfaction; Other: life worthwhileness,MHI-5; Office for National Statistics,Greenspace - Park; Greenspace - General* (not specified),Other: NDVI; Percentage of greenspace; frequency; duration,Other: L1 - neighborhood/residential exposure; L2 - objective accessibility; L4 - visit frequency; L4 - duration in nature
Liu 2021,The Relationship between the Restorative Perception of the Environment and the Physiological and Psychological Effects of Different Types of Forests on University Students,China,Beijing,Mental wellbeing in general*; Restorative effects/Restorativeness; Other: Vitality,ROS; SVS; WEMWBS,Greenspace - Forest/Tree,NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Tillmann 2018,Children and Nature: Linking Accessibility of Natural Environments and Children's Health-Related Quality of Life,Canada,Ontario,Other: Quality of Life,PedsQL,NA,NA,NA
Simkin 2020,"Restorative effects of mature and young commercial forests, pristine old-growth forest and urban recreation forest - A field experiment",Finland,Helsinki,Emotional wellbeing; Restorative effects/Restorativeness; Other: vitality,ROS; SVS; PANAS,Greenspace - Forest/Tree,NA (or not specified),NA
Taylor 2018,Wellbeing and urban living: nurtured by nature,Australia,Auckland; Wellington; Melbourne; Sydney,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),Other: L1 - neighborhood/residential exposure; L3 - view of nature from window
Crouse 2021,Residential greenness and indicators of stress and mental well-being in a Canadian national-level survey,Canada,m,Mental wellbeing in general*; Mental distress; Stress,CCHS; K10,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Cheng 2021,Effects of urban parks on residents' expressed happiness before and during the COVID-19 pandemic,China,m,Emotional wellbeing; Happiness,Sentiment analysis,NA,NA,NA
Li 2021,Can Residential Greenspace Exposure Improve Pain Experience? A Comparison between Physical Visit and Image Viewing,China,Chongqing,Anxiety; Stress,Short Adjective Check List; STAI-6,NA,NA,NA
Zhang 2020,Relationship between Long-Term Residential Green Exposure and Individuals' Mental Health: Moderated by Income Differences and Residential Location in Urban China,China,Guangzhou,Mental wellbeing in general*,WHO-5 (World Health Organisation 5 wellbeing Index),Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Tarar 2015,The Effect of Urban Tree Canopy Cover and Vegetation Levels on Incidence of Stress-related Illnesses in Humans in Metropolitan Statistical Areas of Texas,United States,m,Stress,Official/National mental health survey,NA,NA,NA
Subiza-Perez 2020,Welcome to your plaza: Assessing the restorative potential of urban squares through survey and objective evaluation methods,Spain,NA,Restorative effects/Restorativeness,PRS; ROS,Other: Urban squares,Other: Natural elements: density [0–15],L4 - visit frequency
Ibes 2022,The role of campus greenspace and meditation on college students' mood disturbance,United States,"Williamsburg, Virginia",Mood,POMS (Profile of Mood States),Greenspace - General* (not specified),NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Murphy 2022,Greener on the other side? an analysis of the association between residential greenspace and psychological well-being among people living with spinal cord injury in the United States,United States,"New Jersey, Colorado, Michigan, Illinois",Affect; Depression,SCI-QOL,NA,NA,NA
Yeung 2022,Cognitive-Emotional Benefits of Weekly Exposure to Nature: A Taiwanese Study on Young Adults,China,Taiwan,Anxiety; Cognitive functioning; Depression; Stress; Other: rumination,DASS-21; PSS; RRS; AMT; APNI; SRIS,Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Browning 2018,"Do Income, Race and Ethnicity, and Sprawl Influence the Greenspace-Human Health Link in City-Level Analyses? Findings from 496 Cities in the United States",United States,m,Mental wellbeing in general*,Official/National mental health survey,NA,NA,NA
Vert 2020,Physical and mental health effects of repeated short walks in a blue space environment: A randomised crossover study,Spain,Barcelona,"Mental wellbeing in general*; Mental distress; Affect; Anxiety; Depression; Life satisfaction; Other: vitality, Somatisation , Fatigue, Vigour",WHO-5; POMS; 4DSQ; SF-36,Bluespace - Beach/coastline,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Kim 2018,Does happiness data say urban parks are worth it?,South Korea,Seoul,Happiness,Official/National mental health survey,NA,NA,NA
NA,"Comparison of psychological states of runners within urban and nature environments: the application of electroencephalography (EEG), geographic information systems (GIS), and fitness tracker",United States,NA,Other: psychological state,Electroencephalography (EEG),NA,NA,NA
Jiang 2020,Connections Between Daily Greenness Exposure and Health Outcomes,United States,m,Mental wellbeing in general*; Stress,SF-12; PSS,Greenspace - Forest/Tree; Greenspace - Grassland,Other: Normalized Difference Vegetation Index (NDVI); Street View Greenness,L1 - neighborhood/residential exposure
Ojala 2019,Restorative effects of urban green environments and the role of urban-nature orientedness and noise sensitivity: A field experiment,Finland,Helsinki,Mental distress; Restorative effects/Restorativeness,ROS; SVS,Greenspace - Forest/Tree; Greenspace - Park,NA (or not specified),Other: L4 - stay static in nature; L4 - physical activity in nature
Roe 2011,The restorative outcomes of forest school and conventional school in young people with good and poor behaviour,Scotland,m,Cognitive functioning; Mood; Restorative effects/Restorativeness,MACL;,NA,NA,NA
Chang 2020,Life satisfaction linked to the diversity of nature experiences and nature views from the window,Singapore,m,Mental wellbeing in general*; Life satisfaction,Satisfaction with Life Scale,NA,NA,NA
Brooks 2017,Nature-related mood effects: Season and type of nature contact,Canada,Regina,Affect; Anxiety; Depression; Mood; Stress; Other: eudaimonia,PANAS; EES; DASS-21,Greenspace - Park,NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Li 2018,Moving beyond the neighborhood: Daily exposure to nature and adolescents' mood,United States,"Champaign-Urbana, Danville, Peoria, Springfield","Anxiety; Depression; Mood; Other: Tension, Anger, Fatigue, Vigor",POMS-Y,NA,NA,NA
White 2017,Natural environments and subjective wellbeing: Different types of exposure are associated with different aspects of wellbeing,UK,m,Mental wellbeing in general*,Official/National mental health survey,NA,NA,NA
Sonntag-Ostrom 2015,Can rehabilitation in boreal forests help recovery from exhaustion disorder? The randomised clinical trial ForRest,Sweden,Umeå,"Anxiety; Depression; Self-esteem; Stress; Other: burnout, fatigue",SMBQ; PSQ; CIS; SCQ; HAD-S,NA,NA,NA
Li 2016,Impact of views to school landscapes on recovery from stress and mental fatigue,United States,NA,Stress; Other: Attention,VAS; Digit Span Forward; Digit Span Backward,NA,NA,L3 - view of nature from window
Korpela 2018,Environmental Strategies of Affect Regulation and Their Associations With Subjective Well-Being,m,NA,Emotional wellbeing; Life satisfaction,SWLS; RANDHS-36,NA,NA,NA
Perez-Del-Pulgar 2021,The relationship between residential proximity to outdoor play spaces and children's mental and behavioral health: The importance of neighborhood socio-economic characteristics,Spain,Barcelona,Mental disorder; Other: behavioral disorder,Diagnosis by professionals,Greenspace - General* (not specified),Other: number of green spaces per child,L1 - neighborhood/residential exposure
Amicone 2018,Green Breaks: The Restorative Effect of the School Environment's Green Areas on Children's Cognitive Performance,Italy,Rome,Cognitive functioning; Restorative effects/Restorativeness,The Bells test; WISC-IV; BIA go-no-go test; PRS,Greenspace - General* (not specified),NA (or not specified),"L4 - physical activity in nature (e.g., walking/jogging)"
Subiza-Perez 2020,Green and blue settings as providers of mental health ecosystem services: Comparing urban beaches and parks and building a predictive model of psychological restoration,Spain,Donostia-San Sebastián,Restorative effects/Restorativeness,PRS; ROS,Greenspace - Park; Bluespace - Beach/coastline,NA (or not specified),NA
Subiza-Perez 2023,On pathways and agreement: Objective and perceived accounts of neighbourhood attributes and their associations with mental health during pregnancy,Spain,Donostia-San Sebastián; Barcelona,Mental distress,GHQ-12,Greenspace - General* (not specified),NDVI (Normalized Difference Vegetation Index),L1 - neighborhood/residential exposure
Saadi 2020,"There's no place like home? The psychological, physiological, and cognitive effects of short visits to outdoor urban environments compared to staying in the indoor home environment, a field experiment on women from two ethnic groups",Israel,Nazareth; Afula,Mood; Other: Working  memory,PANAS; backwards digit-span task,Greenspace - Park,NA (or not specified),"L4 - stay static in nature (e.g., sitting/meditation/forest bathing)"
Li 2020,Quality of life: The perspective of urban park recreation in three Asian cities,Indonesia; South Korea; Taiwan,Jakarta; Seoul; Taipei,Other: quality of life,WHOQOL-BREF,NA,NA,NA
Ambrey 2016,An investigation into the synergistic wellbeing benefits of greenspace and physical activity: Moving beyond the mean,Australia,Adelaide; Brisbane; Canberra; Darwin; Melbourne; Perth; Sydney,Mental wellbeing in general*; Mental distress; Life satisfaction,SF-36; K10,Greenspace - General* (not specified),Other: Greenspace (ha) per capita,"Other: L1 - neighborhood/residential exposure; L4 - physical activity in nature (e.g., walking/jogging)"
